PlayerID	PlayerTrueName	PlayerTeams	SimpleMin	SimplePossFor	SimplePossOpp	SimplePointsFor	SimplePointsOpp	SimpleOffRtg	SimpleDefRtg	SimpleOverallRtg	SimpleORebFor	SimpleORebOpp	SimpleDRebFor	SimpleDRebOpp	SimpleORebRate	SimpleDRebRate	WeightedMinOffCourt	WeightedPossForOffCourt	WeightedPossOppOffCourt	WeightedPointsForOffCourt	WeightedPointsOppOffCourt	WeightedOffRtgOffCourt	WeightedDefRtgOffCourt	WeightedOverallRtgOffCourt	WeightedORebForOffCourt	WeightedORebOppOffCourt	WeightedDRebForOffCourt	WeightedDRebOppOffCourt	WeightedORebRateOffCourt	WeightedDRebRateOffCourt	WeightedOverallRtgOnCourt	WeightedORebRateOnCourt	WeightedDRebRateOnCourt	WeightedOverallRtgOnCourtMinusOffCourt	WeightedORebRateOnCourtMinusOffCourt	WeightedDRebRateOnCourtMinusOffCourt	AdjustedPM	AdjustedPMStdErr
964	Macklin, Vernon	DET	66.5000	130	128	143	118	110	92.1875	17.8125	20	17	52	49	0.289855	0.753623	1330.5000	2467	2466	2388	2669	96.7977	108.232	-11.4342	467	388	816	889	0.3444	0.6777	17.8125	0.289855	0.753623	29.2467	-0.0545	0.0759	NULL	NULL
965	Thompson, Klay	GSW	474.3167	920	917	940	973	102.174	106.107	-3.93296	135	200	300	340	0.284211	0.6	879.6833	1714	1719	1826	1847	106.534	107.446	-0.9118	279	326	585	616	0.3117	0.6422	-3.93296	0.284211	0.6	-3.0212	-0.0275	-0.0422	-8.37735	4.88569
966	Tyler, Jeremy	GSW	65.2500	130	137	126	154	96.9231	112.409	-15.4857	20	26	37	50	0.285714	0.587302	1288.7500	2504	2499	2640	2666	105.431	106.683	-1.2514	394	500	848	906	0.3031	0.6291	-15.4857	0.285714	0.587302	-14.2343	-0.0174	-0.0418	NULL	NULL
967	Wright, Chris	GSW	27.3500	55	58	46	71	83.6364	122.414	-38.7774	14	7	16	18	0.4375	0.695652	1326.6500	2579	2578	2720	2749	105.467	106.633	-1.1658	400	519	869	938	0.299	0.6261	-38.7774	0.4375	0.695652	-37.6116	0.1385	0.0696	NULL	NULL
968	Jenkins, Charles	GSW	156.3833	309	314	294	370	95.1456	117.834	-22.6888	48	47	105	115	0.294479	0.690789	1197.6167	2325	2322	2472	2450	106.323	105.512	0.8101	366	479	780	841	0.3032	0.6195	-22.6888	0.294479	0.690789	-23.4989	-0.0087	0.0713	NULL	NULL
969	Morris, Marcus	HOU	17.4000	34	34	36	42	105.882	123.529	-17.6471	8	4	12	13	0.380952	0.75	1485.6000	2877	2871	2989	2954	103.893	102.891	1.002	512	505	1010	1004	0.3377	0.6667	-17.6471	0.380952	0.75	-18.6491	0.0433	0.0833	NULL	NULL
970	Parsons, Chandler	HOU	765.0333	1485	1488	1552	1503	104.512	101.008	3.50372	286	277	529	511	0.358846	0.656328	737.9667	1426	1417	1473	1493	103.296	105.363	-2.0675	234	232	493	506	0.3162	0.68	3.50372	0.358846	0.656328	5.5712	0.0426	-0.0237	3.35456	4.0295
971	Thompkins, Trey	LAC	89.3000	179	178	172	202	96.0894	113.483	-17.3938	38	34	52	67	0.361905	0.604651	1317.7000	2459	2459	2663	2552	108.296	103.782	4.514	510	453	911	871	0.3693	0.6679	-17.3938	0.361905	0.604651	-21.9078	-0.0074	-0.0632	NULL	NULL
972	Leslie, Travis	LAC	38.7500	78	78	64	87	82.0513	111.538	-29.4872	19	16	22	34	0.358491	0.578947	1368.2500	2560	2559	2771	2667	108.242	104.22	4.0218	529	471	941	904	0.3692	0.6664	-29.4872	0.358491	0.578947	-33.509	-0.0107	-0.0875	NULL	NULL
973	Goudelock, Andrew	LAL	257.2833	462	458	477	466	103.247	101.747	1.50003	89	90	195	156	0.363265	0.684211	1192.7167	2267	2266	2316	2256	102.161	99.5587	2.6028	404	418	910	802	0.335	0.6852	1.50003	0.363265	0.684211	-1.1028	0.0283	-0.001	NULL	NULL
