PlayerID	PlayerTrueName	Team	MinOnCourt	PossForOnCourt	PossOppOnCourt	PointsForOnCourt	PointsOppOnCourt	OffRtgOnCourt	DefRtgOnCourt	OverallRtgOnCourt	ORebForOnCourt	ORebOppOnCourt	DRebForOnCourt	DRebOppOnCourt	ORebRateOnCourt	DRebRateOnCourt	MinOffCourt	PossForOffCourt	PossOppOffCourt	PointsForOffCourt	PointsOppOffCourt	OffRtgOffCourt	DefRtgOffCourt	OverallRtgOffCourt	ORebForOffCourt	ORebOppOffCourt	DRebForOffCourt	DRebOppOffCourt	ORebRateOffCourt	DRebRateOffCourt	OverallRtgOnCourtMinusOffCourt	ORebRateOnCourtMinusOffCourt	DRebRateOnCourtMinusOffCourt
34	Hilario, Nene	DEN	673.9833	1340	1327	1397	1357	104.2537	102.2607	1.9930	193	187	492	491	0.2822	0.7246	786.0167	1573	1585	1685	1631	107.1202	102.9022	4.2179	288	273	554	516	0.3582	0.6699	-2.2249	-0.0760	0.0547
36	Najera, Eduardo	CHA	33.9167	61	61	55	72	90.1639	118.0328	-27.8689	5	13	19	28	0.1515	0.5938	1363.0833	2605	2602	2465	2847	94.6257	109.4158	-14.7901	459	462	925	1002	0.3142	0.6669	-13.0788	-0.1627	-0.0731
40	Mohammed, Nazr	OKC	354.8500	673	686	773	710	114.8588	103.4985	11.3603	98	130	255	201	0.3278	0.6623	1042.1500	2056	2053	2190	2088	106.5175	101.7048	4.8127	340	379	772	682	0.3327	0.6707	6.5476	-0.0049	-0.0084
42	Elson, Francisco	PHI	13.3167	24	24	18	29	75.0000	120.8333	-45.8333	2	4	9	12	0.1429	0.6923	1431.6833	2680	2688	2835	2576	105.7836	95.8333	9.9502	436	484	1054	1049	0.2936	0.6853	-55.7835	-0.1507	0.0070
45	Redd, Michael	PHX	266.3000	518	520	496	569	95.7529	109.4231	-13.6702	87	80	175	207	0.2959	0.6863	1173.7000	2256	2262	2324	2355	103.0142	104.1114	-1.0972	345	399	818	821	0.2959	0.6721	-12.5730	0.0000	0.0142
47	Ford, T.J.	SAS	155.1000	300	306	328	306	109.3333	100.0000	9.3333	44	43	122	98	0.3099	0.7394	1304.6833	2481	2473	2628	2517	105.9250	101.7792	4.1458	419	393	913	925	0.3118	0.6991	5.1875	-0.0019	0.0403
49	Bogut, Andrew	MIL	363.7167	695	694	685	667	98.5612	96.1095	2.4516	98	128	255	269	0.2670	0.6658	1033.2833	2011	1999	2057	2140	102.2874	107.0535	-4.7661	385	380	671	745	0.3407	0.6384	7.2177	-0.0737	0.0274
51	Magloire, Jamaal	TOR	245.8667	448	454	462	450	103.1250	99.1189	4.0061	63	82	180	162	0.2800	0.6870	1065.1333	2010	2005	1940	2102	96.5174	104.8379	-8.3205	336	385	699	761	0.3063	0.6448	12.3266	-0.0263	0.0422
52	Iguodala, Andre	PHI	1045.5167	1951	1967	2020	1846	103.5366	93.8485	9.6881	319	380	780	787	0.2884	0.6724	399.4833	753	745	833	759	110.6242	101.8792	8.7450	119	108	283	274	0.3028	0.7238	0.9431	-0.0144	-0.0514
54	Korver, Kyle	CHI	712.2000	1335	1311	1434	1271	107.4157	96.9489	10.4668	296	260	515	468	0.3874	0.6645	775.8000	1465	1491	1555	1453	106.1433	97.4514	8.6920	285	252	572	497	0.3645	0.6942	1.7748	0.0229	-0.0297
55	Williams, Mo	LAC	744.3167	1406	1408	1502	1526	106.8279	108.3807	-1.5528	302	251	478	487	0.3828	0.6557	662.6833	1232	1229	1333	1228	108.1981	99.9186	8.2794	246	236	485	451	0.3529	0.6727	-9.8322	0.0299	-0.0170
59	Salmons, John	SAC	826.4833	1607	1612	1541	1743	95.8930	108.1266	-12.2336	309	290	554	622	0.3319	0.6564	618.5167	1221	1222	1252	1306	102.5389	106.8740	-4.3351	269	220	405	453	0.3726	0.6480	-7.8985	-0.0407	0.0084
65	Miller, Brad	MIN	34.8833	68	63	65	60	95.5882	95.2381	0.3501	16	14	23	27	0.3721	0.6216	1405.1167	2761	2769	2825	2794	102.3180	100.9029	1.4151	509	477	1028	979	0.3421	0.6831	-1.0650	0.0300	-0.0615
68	Bibby, Mike	NYK	292.3500	567	574	509	598	89.7707	104.1812	-14.4105	85	80	188	243	0.2591	0.7015	1157.6500	2270	2271	2342	2221	103.1718	97.7983	5.3735	412	398	806	786	0.3439	0.6694	-19.7840	-0.0848	0.0321
